카테고리,상품명,상품링크,판매가,정상가,할인율
전체,파프리카 3입 (봉),https://www.ssg.com/item/itemView.ssg?itemId=1000029407654,"2,670","4,980","할인율
46
%"
전체,햇양파 (1.8kg/망),https://www.ssg.com/item/itemView.ssg?itemId=0000006613112,"2,864","3,580","할인율
20
%"
전체,반전참외 (15입내/봉),https://www.ssg.com/item/itemView.ssg?itemId=0000007036373,"8,800","11,000","할인율
20
%"
전체,대추방울토마토 (1kg/팩)/하우스감귤 (800g/팩),,"10,980/16,900
8,784/13,520",,
전체,흙당근 (1kg/봉)/햇 세척인삼 (750g/팩),,"3,180/37,480
2,544/29,984",,
전체,제스프리 골드키위 점보 (10개),,"12,800",,
전체,친환경 생 블루베리 (200g/팩),,"6,980","9,980","할인율
30
%"
전체,블랙 망고수박/까망 애플수박,,,,
전체,광어연어 실속 모둠회 (100g),,"7,980",,
전체,"손질오징어 (대/마리, 해동)",,"3,200",,
신세계포인트 & 이마트e카드,머스크 멜론 (통),,"7,494","12,490","할인율
40
%"
신세계포인트 & 이마트e카드,하우스 햇 감자 (1kg/봉),,"3,588","5,980","할인율
40
%"
신세계포인트 & 이마트e카드,냉동 돈육 전품목,,,,
신세계포인트 & 이마트e카드,스시블랙 전품목 (5입),,"6,588","10,980","할인율
40
%"
신세계포인트 & 이마트e카드,오뚜기 육개장 큰컵 (104g×6입),https://www.ssg.com/item/itemView.ssg?itemId=1000544936882,"3,348","5,580","할인율
40
%"
신세계포인트 & 이마트e카드,피코크 자연치즈 99% 트리플 (800g),,"8,988","14,980","할인율
40
%"
신세계포인트 & 이마트e카드,피코크 고추잡채&꽃빵 (500g)/피코크 매콤한 즉석 쌀떡볶이 (1.06kg),,"5,988","9,980","할인율
40
%"
신세계포인트 & 이마트e카드,피코크 꽁치 김치찜 (450g),,"5,388","8,980","할인율
40
%"
가공 상품,CJ 비비고 쌀떡볶이/비비고 김말이/고메 크리스피 핫도그,,"6,980",,
가공 상품,CJ 닭가슴살 9종,,,,
가공 상품,"사세 치킨가라아게 (500g)/특수부위 치킨립 (숯불향바비큐맛, 180g)",,"9,980/6,980",,
가공 상품,사조 대림 오리지널 버거 (150g)/치즈버거 (160g),,"2,980",,
가공 상품,사조 불닭참치/불닭마요참치 (100g),,"1,980",,
가공 상품,하림 더미식 당진 백미밥 (200g×12개),,"13,860","19,800","할인율
30
%"
가공 상품,브로슈낭 올리브오일 (250ml),https://www.ssg.com/item/itemView.ssg?itemId=1000561054123,"9,480","13,800","할인율
31
%"
가공 상품,매일 바이오드링킹 (750ml×2),,"5,980",,
가공 상품,삼대오백 바이퍼 에너지 그린/핫식스 더프로,,"1,980/2,480",,
가공 상품,시즌 한정 과일과자,,,,
생활용품,오가니스트 바디워시 2종 (900g),,"12,900",,
생활용품,벨먼스파 스크럽 바디워시 2종 (600g),,"16,900",,
생활용품,발을씻자 풋샴푸 쿨링,,"11,900",,
생활용품,코디 클린 화이트 화장지 (27m×30롤),https://www.ssg.com/item/itemView.ssg?itemId=1000612560255,"28,900",,
생활용품,깨끗한나라 페퍼민트 블루 캡 물티슈 (100매×6입),https://www.ssg.com/item/itemView.ssg?itemId=1000544935855,"10,950","15,800","할인율
30
%"
생활용품,르샤트라 향기캡슐 섬유유연제 (2.3L),,"17,900",,
생활용품,"케라시스 케라마이드 샴푸·트리트먼트(1,000ml, 각)·헤어팩(220ml)/세럼(70ml)",,"8,900/5,900",,
생활용품,퍼실 파워젤 세탁세제,,"15,900",,
생활용품,프릴 그린파워 주방세제,,"8,900",,
생활용품,브레프 디럭스 변기세정제 3종 (2P),,"8,900",,
가전·패션,삼성 멀티형 에어컨 (62.6㎡+18.7㎡),,,,
가전·패션,삼성 비스포크 키친핏 냉장고 (640L),,,,
가전·패션,LG 오브제 냉장고 더블매직 (871L),,,,
가전·패션,LG 멀티형 에어컨 (62.6㎡+18.7㎡),,,,
가전·패션,삼성 QLED TV (163cm),,,,
가전·패션,LG 올레드 TV (163cm),,,,
가전·패션,일렉트로맨 Google TV (163cm),,"499,000","669,000","할인율
25
%"
가전·패션,테팔 무선청소기 엑스퍼트 7.60,,"169,000",,
가전·패션,유닉스 에어스피더 드라이기,,"55,000",,
가전·패션,쿠쿠 6인용 IH 밥솥,,"348,000",,
취향 한잔,대용량 맥주 캔/병 6종,,,,
취향 한잔,소용량 맥주 번들팩 7종,,,,
취향 한잔,생 막걸리 전품목,,,,
취향 한잔,수입 캔맥주 5종,,,,
취향 한잔,글렌알라키 11년 프리미어크뤼 클라세 (700ml),,"99,800","129,800","할인율
23
%"
취향 한잔,글렌알라키 15년 (700ml),,"149,800","189,800","할인율
21
%"
취향 한잔,더 글렌드로낙 15년 (700ml),,"159,800","189,800","할인율
15
%"
취향 한잔,잭다니엘스 BIB 라이 (700ml),,"62,800","69,800","할인율
10
%"
