카테고리,상품명,상품링크,판매가,정상가,할인율
전체,한우 등심 1/1+등급 (100g/냉장),https://www.ssg.com/item/itemView.ssg?itemId=2500000337253,"9,700/11,000
4,850/5,500",,
전체,미국산 프라임등급 소고기 전품목 (냉장),https://www.ssg.com/item/itemView.ssg?itemId=1156630000000,,,
전체,토종닭 전품목 (냉장),https://www.ssg.com/item/itemView.ssg?itemId=8801492612052,,,
전체,한우 양념 소불고기 (600g),https://www.ssg.com/item/itemView.ssg?itemId=2507281019991,"13,188","21,980","할인율
40
%"
전체,브랜드 한우 전품목 (냉장),https://www.ssg.com/item/itemView.ssg?itemId=1110640000000,,,
전체,브랜드 돈 삼겹살/앞다리/뒷다리 전품목 (냉장),https://www.ssg.com/item/itemView.ssg?itemId=1197590000000,,,
전체,"무항생제 닭볶음탕 전품목 (750g/1kg, 냉장)",https://www.ssg.com/item/itemView.ssg?itemId=8801492374219,"8,980/9,980
6,286/6,986",,
전체,한돈 제육볶음/간장 제육볶음 (800g),https://www.ssg.com/item/itemView.ssg?itemId=2507281024681,"16,980",,
전체,프라임등급 LA식 꽃갈비 (1kg/냉동),https://www.ssg.com/item/itemView.ssg?itemId=2507281023486,"39,480","65,800","할인율
40
%"
6.5(목) - 6.8(일) 고래잇 페스타,파프리카,https://www.ssg.com/item/itemView.ssg?itemId=2438520000000,890,,
6.5(목) - 6.8(일) 고래잇 페스타,제스프리 골드키위 무한담기,https://www.ssg.com/item/itemView.ssg?itemId=2144660000000,"13,980",,
6.5(목) - 6.8(일) 고래잇 페스타,양배추 (통),https://www.ssg.com/item/itemView.ssg?itemId=1214960000000,"2,480",,
제철 · 신선 페스타,소스가 들어있는 파채 (팩),https://www.ssg.com/item/itemView.ssg?itemId=2500000182259,"2,480",,
제철 · 신선 페스타,GAP 죽장사과/국산의힘 고산지 사과 (4~6입),https://www.ssg.com/item/itemView.ssg?itemId=2500000200250,"11,130","15,900","할인율
30
%"
제철 · 신선 페스타,CJ 중용량 드레싱 전품목 (235g~260g),https://www.ssg.com/item/itemView.ssg?itemId=8801007027364,,,
제철 · 신선 페스타,아메리칸 핫도그 피자 (약 30cm),https://www.ssg.com/item/itemView.ssg?itemId=8800281964785,"11,980",,
제철 · 신선 페스타,광어물회 (대),https://www.ssg.com/item/itemView.ssg?itemId=2351300000000,"21,980",,
가공 상품,피코크 솥밥소스 3종,https://www.ssg.com/item/itemView.ssg?itemId=8809210344292,"1,980/2,480",,
가공 상품,매일 바이오 플레인 2입 기획 (450g×2),https://www.ssg.com/item/itemView.ssg?itemId=8801121767894,"5,780",,
가공 상품,몬스터 에너지 그린/울트라 (355ml×4캔),https://www.ssg.com/item/itemView.ssg?itemId=8801105999686,"6,480","7,980","할인율
18
%"
가공 상품,맥주 행사상품 10종,https://www.ssg.com/item/itemView.ssg?itemId=4066600211815,,,
가공 상품,농심 컵라면 6입 전품목,https://www.ssg.com/item/itemView.ssg?itemId=8801043015684,,,
가공 상품,프링글스 전품목,https://www.ssg.com/item/itemView.ssg?itemId=8886467100017,"3,330",,
가공 상품,CJ 햇반 쿡반 만능계란/만능김치 볶음밥 (400g),https://www.ssg.com/item/itemView.ssg?itemId=8801392047879,"6,580",,
생활 용품 · 패션,오랄비 전동칫솔 D100 크로스액션 (블랙),https://www.ssg.com/item/itemView.ssg?itemId=4210201438823,"25,950",,
생활 용품 · 패션,살롱10 실키프로틴 샴푸/에센스팩/오일 (600ml/600ml/60ml),https://www.ssg.com/item/itemView.ssg?itemId=8800283637816,"11,900",,
생활 용품 · 패션,홈스타 락스와 세제 세정제 (750ml),https://www.ssg.com/item/itemView.ssg?itemId=8801051264029,"3,500",,
생활 용품 · 패션,좋은느낌 썸머 생리대,https://www.ssg.com/item/itemView.ssg?itemId=8801166097734,"16,900",,
생활 용품 · 패션,모기장/해충킬러 전품목,https://www.ssg.com/item/itemView.ssg?itemId=8804161415718,,,
생활 용품 · 패션,러버랩 손이쏙 고무장갑 1입,https://www.ssg.com/item/itemView.ssg?itemId=8809018355261,"2,016","2,880","할인율
30
%"
생활 용품 · 패션,해피콜/테팔 구이팬 3종,https://www.ssg.com/item/itemView.ssg?itemId=3168430251731,,,
생활 용품 · 패션,데이즈 비치햇/바이저 51종,https://www.ssg.com/item/itemView.ssg?itemId=2229524330631,"9,980",,
생활 용품 · 패션,양말 균일가,https://www.ssg.com/item/itemView.ssg?itemId=2220029197798,"1,000/2,000/3,000",,
가전,LG 멀티형 에어컨 (58.5㎡+18.7㎡),https://www.ssg.com/item/itemView.ssg?itemId=2087686089268,,,
가전,LG 오브제AI 워시타워 (25kg+25kg),https://www.ssg.com/item/itemView.ssg?itemId=2790198832832,,,
가전,삼성 비스포크 원바디 (25kg+20kg),https://www.ssg.com/item/itemView.ssg?itemId=2087685969332,,,
가전,삼성 멀티형 에어컨 (56.9㎡+18.7㎡),https://www.ssg.com/item/itemView.ssg?itemId=2790198873057,,,
가전,LG 올레드 TV (163cm),https://www.ssg.com/item/itemView.ssg?itemId=2000000339924,,,
가전,삼성 QLED TV (163cm),https://www.ssg.com/item/itemView.ssg?itemId=2087686002359,,,
가전,샤크 하이드로백 물걸레청소기,https://www.ssg.com/item/itemView.ssg?itemId=0622356313964,"369,000",,
가전,다이슨 Airwrap Long Origin +(Fast),https://www.ssg.com/item/itemView.ssg?itemId=5025155110300,,,
가전,헬로키티·쿠로미 휴대용/탁상용 선풍기,https://www.ssg.com/item/itemView.ssg?itemId=8800300899951,,,
가전,Apple Watch S10 전품목,https://www.ssg.com/item/itemView.ssg?itemId=0195949556562,,,
6.5(목) - 6.8(일) 고래잇템,항공직송 체리 (500g),https://www.ssg.com/item/itemView.ssg?itemId=2500000286353,"7,850","14,980","할인율
47
%"
6.5(목) - 6.8(일) 고래잇템,수입 돈 삼겹살/목심 (100g/냉장),https://www.ssg.com/item/itemView.ssg?itemId=1181320000000,760,,
6.5(목) - 6.8(일) 고래잇템,황제참돔 껍질회 (360g 내외/팩),https://www.ssg.com/item/itemView.ssg?itemId=1308050000000,"29,880","49,800","할인율
40
%"
6.5(목) - 6.8(일) 고래잇템,정호영셰프 3종 면,https://www.ssg.com/item/itemView.ssg?itemId=8801085884286,"3,980","5,480","할인율
27
%"
6.5(목) - 6.8(일) 고래잇템,조선호텔 모달 냉감 차렵세트/쯔누가 냉감패드 4종,https://www.ssg.com/item/itemView.ssg?itemId=2229524354552,,,
6.5(목) - 6.8(일) 고래잇템,냉감 웨이브 슈퍼쿨 침구 시리즈 8종,https://www.ssg.com/item/itemView.ssg?itemId=2229524323145,,,
6.5(목) - 6.8(일) 고래잇템,후지야 쿠키 2종,https://www.ssg.com/item/itemView.ssg?itemId=4902555274591,"3,480","3,980","할인율
12
%"
6.5(목) - 6.8(일) 고래잇템,피코크 오징어먹물 빠에야/쉬림프초리조 빠에야 (500g),https://www.ssg.com/item/itemView.ssg?itemId=8809750477108,"5,584","6,980","할인율
20
%"
6.5(목) - 6.8(일) 고래잇템,신일 BLDC 서큘레이터,https://www.ssg.com/item/itemView.ssg?itemId=8805678992969,"84,000","139,000","할인율
39
%"
6.5(목) - 6.8(일) 고래잇템,신일 리모컨 선풍기,https://www.ssg.com/item/itemView.ssg?itemId=8805678993171,"49,000","89,000","할인율
44
%"
